hint,difficulty,word
Science,Medium,CRYSTAL
Science,Medium,ENERGY
Science,Medium,GENETICS
Science,Medium,GEOLOGY
Science,Medium,GRAVITY
Science,Medium,MAGNET
Science,Medium,MOLECULE
Science,Medium,NEUTRON
Science,Medium,NUCLEUS
Science,Medium,ORGANISM
Science,Medium,OXYGEN
Science,Medium,PARTICLE
Science,Medium,PHOTON
Science,Medium,PLASMA
Science,Medium,PROTEIN
Science,Medium,QUANTUM
Science,Medium,SCIENCE
Science,Medium,SPECTRUM
Science,Hard,ASTRONOMY
Science,Hard,ECOSYSTEM
Science,Hard,ELECTRICITY
Science,Hard,EVOLUTION
Science,Hard,LABORATORY
Science,Hard,RADIATION
Science,Hard,SATELLITE
Science,Hard,TEMPERATURE
Space,Easy,STAR
Space,Medium,ASTEROID
Space,Medium,METEOR
Space,Medium,PLANET
Space,Medium,ROCKET
Space,Medium,UNIVERSE
Space,Hard,ASTRONAUT
Space,Hard,ATMOSPHERE
Sport,Easy,GOLF
Sport,Easy,RUGBY
Sport,Medium,ARCHERY
Sport,Medium,BASEBALL
Sport,Medium,CRICKET
Sport,Medium,CYCLING
Sport,Medium,DIVING
Sport,Medium,FOOTBALL
Sport,Medium,HOCKEY
Sport,Medium,JOGGING
Sport,Medium,KARATE
Sport,Medium,ROWING
Sport,Medium,SKATING
Sport,Medium,SKIING
Sport,Medium,SOCCER
Sport,Medium,SWIMMING
Sport,Medium,TENNIS
Sport,Hard,BASKETBALL
Sport,Hard,VOLLEYBALL
Sport,Hard,WRESTLING
Technology,Easy,ROBOT
Technology,Medium,BROWSER
Technology,Medium,COMPUTER
Technology,Medium,DATABASE
Technology,Medium,DOWNLOAD
Technology,Medium,ETHERNET
Technology,Medium,FIREWALL
Technology,Medium,FIRMWARE
Technology,Medium,HARDWARE
Technology,Medium,INTERNET
Technology,Medium,KEYBOARD
Technology,Medium,LAPTOP
Technology,Medium,MONITOR
Technology,Medium,NETWORK
Technology,Medium,PASSWORD
Technology,Medium,PRINTER
Technology,Medium,SERVER
Technology,Medium,SOFTWARE
Technology,Medium,TABLET
Technology,Medium,UPLOAD
Technology,Medium,WEBSITE
Technology,Medium,WIRELESS
Technology,Hard,ALGORITHM
Technology,Hard,APPLICATION
Technology,Hard,PROCESSOR
Technology,Hard,SMARTPHONE
Technology,Hard,TOUCHSCREEN
Tool,Easy,AXE
Tool,Easy,DRILL
Tool,Easy,FILE
Tool,Easy,HOE
Tool,Easy,RAKE
Tool,Easy,SAW
Tool,Medium,CHISEL
Tool,Medium,PLIERS
Tool,Medium,SHOVEL
Tool,Medium,SPANNER
Tool,Medium,WRENCH
Tool,Hard,SCREWDRIVER
Vegetable,Easy,BEET
Vegetable,Easy,ONION
Vegetable,Easy,PEA
Vegetable,Medium,BROCCOLI
Vegetable,Medium,CABBAGE
Vegetable,Medium,CARROT
Vegetable,Medium,CELERY
Vegetable,Medium,CUCUMBER
Vegetable,Medium,EGGPLANT
Vegetable,Medium,GARLIC
Vegetable,Medium,GINGER
Vegetable,Medium,LETTUCE
Vegetable,Medium,PARSNIP
Vegetable,Medium,PEPPER
Vegetable,Medium,POTATO
Vegetable,Medium,PUMPKIN
Vegetable,Medium,RADISH
Vegetable,Medium,SPINACH
Vegetable,Medium,SQUASH
Vegetable,Medium,TOMATO
Vegetable,Medium,TURNIP
Vegetable,Medium,ZUCCHINI
Vegetable,Hard,ARTICHOKE
Vegetable,Hard,ASPARAGUS
Vehicle,Easy,BOAT
Vehicle,Easy,BUS
Vehicle,Easy,CANOE
Vehicle,Easy,CAR
Vehicle,Easy,CART
Vehicle,Easy,KAYAK
Vehicle,Easy,TAXI
Vehicle,Easy,TRAIN
Vehicle,Easy,TRAM
Vehicle,Easy,TRUCK
Vehicle,Easy,VAN
Vehicle,Easy,WAGON
Vehicle,Easy,YACHT
Vehicle,Medium,AIRPLANE
Vehicle,Medium,BICYCLE
Vehicle,Medium,SCOOTER
Vehicle,Medium,SUBWAY
Vehicle,Hard,HELICOPTER
Vehicle,Hard,MOTORCYCLE
